Date,Total Profit,Value
2000-09-13,"(232278.577, ['BUY', nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, 'BUY', nan], ['BON', 'LCN', 'SN'])",232278.577
2000-09-14,"(115188.577, ['HOLD', nan, nan, nan, nan, nan, nan, 'HOLD', nan, nan, nan, 'HOLD', nan], ['BON', 'LCN', 'SN'])",115188.577
2000-09-15,"(-129378.9393, ['SELL', nan, nan, nan, nan, 'SELL', nan, 'HOLD', nan, nan, nan, 'SELL', nan], ['BON', 'KCN', 'LCN', 'SN'])",-129378.9393
2000-09-18,"(-129572.6893, [nan, nan, nan, nan, nan, 'HOLD', nan, 'HOLD', nan, nan, nan, nan, nan], ['KCN', 'LCN'])",-129572.6893
2000-09-19,"(-129283.8768, [nan, nan, nan, nan, nan, 'BUY', nan, 'HOLD', nan, nan, nan, nan, nan], ['KCN', 'LCN'])",-129283.8768
2000-09-20,"(-129212.2018, [nan, nan, nan, nan, nan, nan, nan, 'HOLD', 'SELL', nan, nan, nan, nan], ['LCN', 'LHN'])",-129212.2018
2000-09-21,"(-129442.2018, [nan, nan, nan, nan, nan, nan, nan, 'HOLD', 'HOLD', nan, nan, nan, nan], ['LCN', 'LHN'])",-129442.2018
2000-09-22,"(-129740.5018, [nan, nan, nan, nan, nan, nan, nan, 'HOLD', 'BUY', nan, nan, nan, nan], ['LCN', 'LHN'])",-129740.5018
2000-09-25,"(-129875.6518, [nan, nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, nan, nan, nan], ['LCN'])",-129875.6518
2000-09-26,"(-129892.5925, [nan, nan, nan, nan, nan, 'SELL', nan, nan, nan, nan, nan, nan, nan], ['KCN'])",-129892.5925
2000-09-27,"(-129506.69870000001, [nan, nan, nan, nan, nan, 'BUY', nan, nan, 'SELL', nan, nan, nan, nan], ['KCN', 'LHN'])",-129506.69870000001
2000-09-28,"(-129185.07370000001, [nan, nan, nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, nan, nan], ['LHN'])",-129185.07370000001
2000-09-29,"(-129185.07370000001, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-129185.07370000001
2000-10-02,"(-129185.07370000001, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-129185.07370000001
2000-10-03,"(-129185.07370000001, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-129185.07370000001
2000-10-04,"(-129220.19870000001, [nan, nan, nan, nan, nan, nan, nan, 'SELL', nan, nan, nan, nan, nan, nan], ['LCN'])",-129220.19870000001
2000-10-05,"(-129728.5637, [nan, nan, nan, nan, nan, nan, nan, 'HOLD', 'SELL', nan, nan, nan, nan, nan], ['LCN', 'LHN'])",-129728.5637
2000-10-06,"(-129892.0037, [nan, nan, nan, nan, nan, nan, nan, 'BUY', 'BUY', nan, nan, nan, nan, nan], ['LCN', 'LHN'])",-129892.0037
2000-10-09,"(-129961.0537, [nan, nan, nan, 'BUY', nan, nan, nan, 'SELL', 'SELL', nan, nan, nan, nan, nan], ['CN', 'LCN', 'LHN'])",-129961.0537
2000-10-10,"(-131064.4374, [nan, nan, nan, 'BUY', nan, nan, nan, 'BUY', 'HOLD', nan, nan, nan, nan, nan], ['CN', 'LCN', 'LHN'])",-131064.4374
2000-10-11,"(-130363.9971, [nan, nan, nan, 'BUY', nan, nan, nan, 'SELL', 'BUY', nan, 'BUY', nan, nan, nan], ['CN', 'LCN', 'LHN', 'SBV'])",-130363.9971
2000-10-12,"(-130245.5499, [nan, nan, nan, 'HOLD', nan, nan, nan, 'HOLD', nan, nan, 'SELL', nan, nan, nan], ['CN', 'LCN', 'SBV'])",-130245.5499
2000-10-13,"(-129898.6919, [nan, nan, nan, 'HOLD', nan, nan, nan, 'BUY', nan, nan, 'BUY', nan, nan, nan], ['CN', 'LCN', 'SBV'])",-129898.6919
2000-10-16,"(-129990.7343, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'SELL', nan, nan, nan], ['CN', 'SBV'])",-129990.7343
2000-10-17,"(-129878.2343, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-129878.2343
2000-10-18,"(-129996.0935, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, nan, 'BUY', nan, nan, nan], ['CN', 'SBV'])",-129996.0935
2000-10-19,"(-130107.7239, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', 'BUY', nan, nan, nan], ['CN', 'SBN', 'SBV'])",-130107.7239
2000-10-20,"(-130522.6927, [nan, nan, nan, 'HOLD', nan, nan, nan, nan, nan, 'BUY', 'BUY', nan, nan, nan], ['CN', 'SBN', 'SBV'])",-130522.6927
2000-10-23,"(-131137.9355, [nan, nan, nan, 'SELL', nan, nan, nan, nan, nan, 'BUY', 'HOLD', nan, nan, nan], ['CN', 'SBN', 'SBV'])",-131137.9355
2000-10-24,"(-132345.3683, [nan, nan, nan, nan, nan, nan, nan, nan, nan, 'SELL', 'SELL', nan, nan, nan], ['SBN', 'SBV'])",-132345.3683
2000-10-25,"(-132345.3683, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-132345.3683
2000-10-26,"(-132345.3683, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-132345.3683
2000-10-27,"(-132345.3683, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-132345.3683
2000-10-30,"(-132345.3683, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-132345.3683
2000-10-31,"(-132345.3683, [nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], [])",-132345.3683
2000-11-01,"(-132351.1683, [nan, nan, nan, 'BUY', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-132351.1683
2000-11-02,"(-132282.0058, [nan, nan, nan, 'BUY', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan], ['CN'])",-132282.0058
